aleksandra miloviĆa,,Čukarica,velika moŠtanica,velika moŠtanica,
aleksandra mladenoviĆa,,Čukarica,ostruŽnica,ostruŽnica,
aleksandra nenadoviĆa,,voŽdovac,pinosava,pinosava,2018/119
aleksandra nevskog,,obrenovac,stubline,stubline,
aleksandra nevskog,,rakovica,beograd,beograd,
aleksandra nikoliĆa,,lazarevac,lazarevac,lazarevac,
aleksandra nikoliĆa,,palilula,borČa,borČa,2019/013
aleksandra nikoliĆa,,sopot,rogaČa,rogaČa,
aleksandra pavloviĆa,,zemun,beograd,bg-zemun,
aleksandra petroviĆa,altina nova 29,zemun,beograd,bg-zemun,2004/005
aleksandra popoviĆa,altina nova 21,zemun,beograd,bg-zemun,2004/005
aleksandra radosavljeviĆa,,barajevo,lisoviĆ,lisoviĆ,2019/067
aleksandra sandiĆa,,mladenovac,kovaČevac,kovaČevac,
aleksandra sandiĆa,,obrenovac,bariČ,bariČ,2019/064
aleksandra sandiĆa,,palilula,beograd,bg-krnjaČa,2019/013
aleksandra saŠe petroviĆa,,sopot,sopot,sopot,
aleksandra simiĆa,,obrenovac,stubline,stubline,
aleksandra solŽenjicina,,obrenovac,brgulice,brgulice,
aleksandra solŽenjicina,,obrenovac,ratari,ratari,
aleksandra solŽenjicina,,rakovica,beograd,beograd,
aleksandra stamboliskog,,savski venac,beograd,beograd,
aleksandra stojanoviĆa,,zemun,beograd,bg-zemun,
aleksandra stojkoviĆa,,mladenovac,velika krsna,velika krsna,
aleksandra sunturliĆa,,voŽdovac,beograd,bg-jajinci,2018/119
aleksandra tijaniĆa,,novi beograd,beograd,beograd,2020/138
aleksandra tirnaniĆa tirketa,,lazarevac,ŠopiĆ,ŠopiĆ,
aleksandra tirnaniĆa tirketa,,savski venac,beograd,beograd,
aleksandra tiŠme,,mladenovac,kovaČevac,kovaČevac,
aleksandra tiŠme,,surČin,progar,progar,2019/067
aleksandra tiŠme,,zvezdara,beograd,bg-v m lug,2018/119
aleksandra tomaŠeviĆa,,zvezdara,beograd,beograd,
aleksandra velikog,,lazarevac,stepojevac,stepojevac,
aleksandra velikog,,obrenovac,stubline,stubline,
aleksandra velikog,,palilula,beograd,bg-krnjaČa,2019/013
aleksandra vitanoviĆa,,palilula,ovČa,ovČa,2019/013
aleksandra vojinoviĆa,,rakovica,beograd,beograd,
aleksandra vojinoviĆa,,voŽdovac,pinosava,pinosava,
aleksandra vuČa,,novi beograd,beograd,bg-n beograd,
aleksandra vukaŠinoviĆa,,barajevo,veliki borak,veliki borak,2019/067
aleksandra-ace simoviĆa,bore markoviĆa,obrenovac,obrenovac,obrenovac,2003/036
aleksandra-ace simoviĆa,bore markoviĆa,obrenovac,zabreŽje,zabreŽje,2003/036
aleksandra-ace spasiĆa,,obrenovac,bariČ,bariČ,
aleksandra-ace teŠiĆa,,obrenovac,bariČ,bariČ,
aleksandra-ace teŠiĆa,,obrenovac,misloĐin,misloĐin,
aleksandrovaČka,,palilula,beograd,bg-krnjaČa,2019/013
alekse baČvanskog,,savski venac,beograd,beograd,
alekse ČelebonoviĆa,nova 159,mladenovac,mladenovac (varoŠ),mladenovac (varoŠ),2008/001
alekse dundica,,novi beograd,beograd,bg-n beograd,
alekse markiŠiĆa,,zemun,beograd,bg-zemun,
alekse nenadoviĆa,,grocka,kaluĐerica,kaludjerica,
alekse nenadoviĆa,,lazarevac,lazarevac,lazarevac,
alekse nenadoviĆa,,mladenovac,koraĆica,koraĆica,
alekse nenadoviĆa,,vraČar,beograd,beograd,
alekse nenadoviĆa,radiofar ulica  9,surČin,surČin,surČin,2011/040
alekse radovanoviĆa,,Čukarica,sremČica,sremČica,
alekse ŠantiĆa,,barajevo,barajevo,barajevo,2019/067
alekse ŠantiĆa,,grocka,kaluĐerica,kaludjerica,2018/119
alekse ŠantiĆa,,grocka,leŠtane,leŠtane,2018/119
alekse ŠantiĆa,,grocka,ritopek,ritopek,2018/119
alekse ŠantiĆa,,grocka,vrČin,vrČin,
alekse ŠantiĆa,,lazarevac,stepojevac,stepojevac,
alekse ŠantiĆa,,obrenovac,obrenovac,obrenovac,
alekse ŠantiĆa,,palilula,slanci,slanci,
alekse ŠantiĆa,,sopot,Đurinci,Đurinci,
alekse ŠantiĆa,,surČin,surČin,surČin,
alekse simiĆa,,mladenovac,koraĆica,koraĆica,
alekse simiĆa,nova  4,surČin,boljevci,boljevci,2011/040
alekse ŽujoviĆa,,mladenovac,mala vrbica,mala vrbica,
alekse ŽujoviĆa,,novi beograd,beograd,beograd,2019/066
